,datahora,nome_drs,pacientes_uti_mm7d,total_covid_uti_mm7d,ocupacao_leitos,pop,leitos_pc,internacoes_7d,internacoes_7d_l,internacoes_7v7
135,15/10/2020,DRS 10 Piracicaba,74.14,238.14,31.13,1539600.0,15.47,133.0,185.0,-28.11
136,15/10/2020,DRS 11 Presidente Prudente,46.29,79.0,58.59,752260.0,10.5,133.0,171.0,-22.22
137,15/10/2020,DRS 12 Registro,11.43,39.0,29.31,278754.0,13.99,25.0,35.0,-28.57
138,15/10/2020,DRS 13 Ribeirão Preto,143.43,303.43,47.27,1477530.0,20.54,359.0,428.0,-16.12
139,15/10/2020,DRS 14 São João da Boa Vista,46.86,127.29,36.81,809836.0,15.72,124.0,142.0,-12.68
140,15/10/2020,DRS 15 São José do Rio Preto,241.14,442.29,54.52,1570421.0,28.16,545.0,685.0,-20.44
141,15/10/2020,DRS 16 Sorocaba,112.86,230.0,49.07,2461760.0,9.34,229.0,260.0,-11.92
142,15/10/2020,DRS 17 Taubaté,146.14,407.14,35.89,2489629.0,16.35,313.0,368.0,-14.95
143,15/10/2020,Estado de São Paulo,3530.29,8462.43,41.72,44639899.0,18.96,7148.0,8445.0,-15.36
144,16/10/2020,DRS 01 Grande São Paulo,1908.14,4682.14,40.75,21138247.0,22.15,3565.0,4146.0,-14.01
145,16/10/2020,DRS 02 Araçatuba,62.71,118.57,52.89,764041.0,15.52,140.0,127.0,10.24
146,16/10/2020,DRS 03 Araraquara,40.57,123.43,32.87,991435.0,12.45,207.0,259.0,-20.08
147,16/10/2020,DRS 04 Baixada Santista,111.71,403.57,27.68,1831884.0,22.03,185.0,206.0,-10.19
148,16/10/2020,DRS 05 Barretos,53.57,91.0,58.87,425090.0,21.41,114.0,180.0,-36.67
149,16/10/2020,DRS 06 Bauru,141.14,228.29,61.82,1741281.0,13.11,266.0,377.0,-29.44
150,16/10/2020,DRS 07 Campinas,236.71,635.57,37.24,4562125.0,13.93,418.0,579.0,-27.81
151,16/10/2020,DRS 08 Franca,47.57,110.14,43.19,696336.0,15.82,117.0,117.0,0.0
152,16/10/2020,DRS 09 Marília,66.14,160.57,41.19,1109670.0,14.47,154.0,195.0,-21.03
153,16/10/2020,DRS 10 Piracicaba,72.43,236.71,30.6,1539600.0,15.37,127.0,192.0,-33.85
154,16/10/2020,DRS 11 Presidente Prudente,45.29,79.14,57.23,752260.0,10.52,128.0,176.0,-27.27
155,16/10/2020,DRS 12 Registro,10.43,39.0,26.74,278754.0,13.99,25.0,31.0,-19.35
